Method,Exam_Score,Bug Type
sbfl barinel,0.0160317426365,Artificial
sbfl tarantula,0.0160317426365,Artificial
sbfl ochiai,0.00371115056362,Artificial
mbfl muse,0.000397614314115,Artificial
mbfl ochiai,0.000596421471173,Artificial
sbfl opt2,0.775745526839,Artificial
sbfl dstar2,0.775745526839,Artificial
sbfl barinel,0.775745526839,Artificial
sbfl tarantula,0.775745526839,Artificial
sbfl ochiai,0.775745526839,Artificial
mbfl muse,0.000919117647059,Artificial
mbfl ochiai,0.000919117647059,Artificial
sbfl opt2,0.00965073529412,Artificial
sbfl dstar2,0.0179227941176,Artificial
sbfl barinel,0.0271139705882,Artificial
sbfl tarantula,0.0271139705882,Artificial
sbfl ochiai,0.0179227941176,Artificial
mbfl muse,0.000172398931127,Artificial
mbfl ochiai,0.000215498663908,Artificial
sbfl opt2,0.000430997327817,Artificial
sbfl dstar2,0.000430997327817,Artificial
sbfl barinel,0.000430997327817,Artificial
sbfl tarantula,0.000430997327817,Artificial
sbfl ochiai,0.000430997327817,Artificial
mbfl muse,0.0153846153846,Artificial
mbfl ochiai,0.0230769230769,Artificial
sbfl opt2,0.0384615384615,Artificial
sbfl dstar2,0.0384615384615,Artificial
sbfl barinel,0.0384615384615,Artificial
sbfl tarantula,0.0384615384615,Artificial
sbfl ochiai,0.0384615384615,Artificial
mbfl muse,0.216422660726,Real
mbfl ochiai,0.004455760662,Real
sbfl opt2,0.00413749204328,Real
sbfl dstar2,0.00413749204328,Real
sbfl barinel,0.00413749204328,Real
sbfl tarantula,0.00413749204328,Real
sbfl ochiai,0.00413749204328,Real
mbfl muse,0.000518134715026,Artificial
mbfl ochiai,0.00155440414508,Artificial
sbfl opt2,0.00492227979275,Artificial
sbfl dstar2,0.00492227979275,Artificial
sbfl barinel,0.00492227979275,Artificial
sbfl tarantula,0.00492227979275,Artificial
sbfl ochiai,0.00492227979275,Artificial
mbfl muse,0.000116822429907,Artificial
mbfl ochiai,0.000233644859813,Artificial
sbfl opt2,0.000817757009346,Artificial
sbfl dstar2,0.000817757009346,Artificial
sbfl barinel,0.0134345794393,Artificial
sbfl tarantula,0.0134345794393,Artificial
sbfl ochiai,0.000817757009346,Artificial
mbfl muse,0.0113989637306,Real
mbfl ochiai,0.00777202072539,Real
sbfl opt2,0.00440414507772,Real
sbfl dstar2,0.00440414507772,Real
sbfl barinel,0.00440414507772,Real
sbfl tarantula,0.00440414507772,Real
sbfl ochiai,0.00440414507772,Real
mbfl muse,0.216312056738,Real
mbfl ochiai,0.216312056738,Real
sbfl opt2,0.0177304964539,Real
sbfl dstar2,0.0177304964539,Real
sbfl barinel,0.0177304964539,Real
sbfl tarantula,0.248226950355,Real
sbfl ochiai,0.0177304964539,Real
mbfl muse,0.000919117647059,Artificial
mbfl ochiai,0.000919117647059,Artificial
sbfl opt2,0.00321691176471,Artificial
sbfl dstar2,0.00321691176471,Artificial
sbfl barinel,0.0284926470588,Artificial
sbfl tarantula,0.0284926470588,Artificial
sbfl ochiai,0.00321691176471,Artificial
mbfl muse,0.263901869159,Artificial
mbfl ochiai,0.00753504672897,Artificial
sbfl opt2,0.797137850467,Artificial
sbfl dstar2,0.797137850467,Artificial
sbfl barinel,0.797137850467,Artificial
sbfl tarantula,0.797137850467,Artificial
sbfl ochiai,0.797137850467,Artificial
mbfl muse,0.184615384615,Artificial
mbfl ochiai,0.0307692307692,Artificial
sbfl opt2,0.0461538461538,Artificial
sbfl dstar2,0.0461538461538,Artificial
sbfl barinel,0.0461538461538,Artificial
sbfl tarantula,0.0461538461538,Artificial
sbfl ochiai,0.0461538461538,Artificial
mbfl muse,0.00714285714286,Artificial
mbfl ochiai,0.0202380952381,Artificial
sbfl opt2,0.0285714285714,Artificial
sbfl dstar2,0.0285714285714,Artificial
sbfl barinel,0.0285714285714,Artificial
sbfl tarantula,0.0285714285714,Artificial
sbfl ochiai,0.0285714285714,Artificial
mbfl muse,0.263316404866,Artificial
mbfl ochiai,0.000177158379591,Artificial
sbfl opt2,0.000177158379591,Artificial
sbfl dstar2,0.000177158379591,Artificial
sbfl barinel,0.000177158379591,Artificial
sbfl tarantula,0.000177158379591,Artificial
sbfl ochiai,0.000177158379591,Artificial
mbfl muse,0.00145095763204,Artificial
mbfl ochiai,0.0159605339524,Artificial
sbfl opt2,0.0206035983749,Artificial
sbfl dstar2,0.0206035983749,Artificial
sbfl barinel,0.0206035983749,Artificial
sbfl tarantula,0.0206035983749,Artificial
sbfl ochiai,0.0206035983749,Artificial
mbfl muse,0.0037724898433,Artificial
mbfl ochiai,0.0214741729541,Artificial
sbfl opt2,0.0258270458503,Artificial
sbfl dstar2,0.0258270458503,Artificial
sbfl barinel,0.0258270458503,Artificial
sbfl tarantula,0.0258270458503,Artificial
sbfl ochiai,0.0258270458503,Artificial
mbfl muse,0.00168634064081,Artificial
mbfl ochiai,0.00548060708263,Artificial
sbfl opt2,0.00801011804384,Artificial
sbfl dstar2,0.00801011804384,Artificial
sbfl barinel,0.00801011804384,Artificial
sbfl tarantula,0.00801011804384,Artificial
sbfl ochiai,0.00801011804384,Artificial
mbfl muse,0.00238095238095,Artificial
mbfl ochiai,0.0178571428571,Artificial
sbfl opt2,0.0238095238095,Artificial
sbfl dstar2,0.0238095238095,Artificial
sbfl barinel,0.0238095238095,Artificial
sbfl tarantula,0.0238095238095,Artificial
sbfl ochiai,0.0238095238095,Artificial
mbfl muse,0.00126475548061,Artificial
mbfl ochiai,0.0109612141653,Artificial
sbfl opt2,0.778246205734,Artificial
sbfl dstar2,0.778246205734,Artificial
sbfl barinel,0.778246205734,Artificial
sbfl tarantula,0.778246205734,Artificial
sbfl ochiai,0.778246205734,Artificial
mbfl muse,0.00952380952381,Artificial
mbfl ochiai,0.0107142857143,Artificial
sbfl opt2,0.0202380952381,Artificial
sbfl dstar2,0.0202380952381,Artificial
sbfl barinel,0.0202380952381,Artificial
sbfl tarantula,0.0202380952381,Artificial
sbfl ochiai,0.0202380952381,Artificial
mbfl muse,0.278571428571,Artificial
mbfl ochiai,0.0047619047619,Artificial
sbfl opt2,0.00595238095238,Artificial
sbfl dstar2,0.00595238095238,Artificial
sbfl barinel,0.00595238095238,Artificial
sbfl tarantula,0.00595238095238,Artificial
sbfl ochiai,0.00595238095238,Artificial
mbfl muse,0.00190839694656,Artificial
mbfl ochiai,0.00572519083969,Artificial
sbfl opt2,0.0114503816794,Artificial
sbfl dstar2,0.0114503816794,Artificial
sbfl barinel,0.0114503816794,Artificial
sbfl tarantula,0.0114503816794,Artificial
sbfl ochiai,0.0114503816794,Artificial
mbfl muse,0.00144522144522,Artificial
mbfl ochiai,0.00205128205128,Artificial
sbfl opt2,0.00536130536131,Artificial
sbfl dstar2,0.00536130536131,Artificial
sbfl barinel,0.00536130536131,Artificial
sbfl tarantula,0.00536130536131,Artificial
sbfl ochiai,0.00536130536131,Artificial
mbfl muse,0.238170974155,Real
mbfl ochiai,0.00994035785288,Real
sbfl opt2,0.0554671968191,Real
sbfl dstar2,0.0367793240557,Real
sbfl barinel,0.0367793240557,Real
sbfl tarantula,0.0367793240557,Real
sbfl ochiai,0.0367793240557,Real
mbfl muse,0.00714285714286,Artificial
mbfl ochiai,0.00833333333333,Artificial
sbfl opt2,0.0119047619048,Artificial
sbfl dstar2,0.0119047619048,Artificial
sbfl barinel,0.0166666666667,Artificial
sbfl tarantula,0.0166666666667,Artificial
sbfl ochiai,0.0119047619048,Artificial
mbfl muse,0.0230769230769,Artificial
mbfl ochiai,0.0384615384615,Artificial
sbfl opt2,0.0461538461538,Artificial
sbfl dstar2,0.0461538461538,Artificial
sbfl barinel,0.0461538461538,Artificial
sbfl tarantula,0.0461538461538,Artificial
sbfl ochiai,0.0461538461538,Artificial
mbfl muse,0.0153846153846,Artificial
mbfl ochiai,0.0230769230769,Artificial
sbfl opt2,0.0384615384615,Artificial
sbfl dstar2,0.0384615384615,Artificial
sbfl barinel,0.0384615384615,Artificial
sbfl tarantula,0.0384615384615,Artificial
sbfl ochiai,0.0384615384615,Artificial
mbfl muse,0.000919117647059,Artificial
mbfl ochiai,0.000919117647059,Artificial
sbfl opt2,0.000919117647059,Artificial
sbfl dstar2,0.000919117647059,Artificial
sbfl barinel,0.000919117647059,Artificial
sbfl tarantula,0.000919117647059,Artificial
sbfl ochiai,0.000919117647059,Artificial
mbfl muse,0.265914727767,Real
mbfl ochiai,0.000354316759183,Real
sbfl opt2,0.103165229715,Real
sbfl dstar2,0.00041336955238,Real
sbfl barinel,0.00041336955238,Real
sbfl tarantula,0.00041336955238,Real
sbfl ochiai,0.00041336955238,Real
mbfl muse,0.00190839694656,Artificial
mbfl ochiai,0.00572519083969,Artificial
sbfl opt2,0.00763358778626,Artificial
sbfl dstar2,0.00763358778626,Artificial
sbfl barinel,0.0114503816794,Artificial
sbfl tarantula,0.0114503816794,Artificial
sbfl ochiai,0.00954198473282,Artificial
mbfl muse,0.0030487804878,Artificial
mbfl ochiai,0.0015243902439,Artificial
sbfl opt2,0.00228658536585,Artificial
sbfl dstar2,0.00381097560976,Artificial
sbfl barinel,0.00838414634146,Artificial
sbfl tarantula,0.00838414634146,Artificial
sbfl ochiai,0.00838414634146,Artificial
mbfl muse,0.0107142857143,Artificial
mbfl ochiai,0.0214285714286,Artificial
sbfl opt2,0.025,Artificial
sbfl dstar2,0.025,Artificial
sbfl barinel,0.025,Artificial
sbfl tarantula,0.025,Artificial
sbfl ochiai,0.025,Artificial
mbfl muse,0.000518134715026,Artificial
mbfl ochiai,0.0020725388601,Artificial
sbfl opt2,0.00492227979275,Artificial
sbfl dstar2,0.00492227979275,Artificial
sbfl barinel,0.00492227979275,Artificial
sbfl tarantula,0.00492227979275,Artificial
sbfl ochiai,0.00492227979275,Artificial
mbfl muse,0.0153846153846,Artificial
